Date,Site,Stimuli,Phase,Video_dur,Feed_dur,Feed_rate
20141119,3,EASO,Post,288,90,18.75
20141119,3,GHOW,Post,292,1,0.205479452
20141203,3,AMRO,Post,285,51,10.73684211
20141203,3,GHOW,Post,294,27,5.510204082
20141205,1,AMRO,Post,300,153,30.6
20141222,2,GHOW,Post,285,0,0
20150122,6,AMRO,Post,309,2,0.388349515
20150122,6,EASO,Post,307,0,0
20150123,6,GHOW,Post,322,0,0
20150204,6,EASO,Post,327,1,0.183486239
20150212,2,EASO,Post,298,0,0
20150304,2,AMRO,Post,364,0,0
20150310,4,EASO,Post,238,0,0
20150310,4,GHOW,Post,296,115,23.31081081
20150311,4,AMRO,Post,300,0,0
20151116,1,AMRO,Post,300,161,32.2
20151116,1,EASO,Post,290,23,4.75862069
20151120,1,GHOW,Post,290,11,2.275862069
20141119,3,EASO,Present,280,0,0
20141119,3,GHOW,Present,273,0,0
20141203,3,AMRO,Present,288,49,10.20833333
20141203,3,GHOW,Present,281,5,1.067615658
20141205,1,AMRO,Present,284,75,15.84507042
20141222,2,GHOW,Present,154,0,0
20150122,6,AMRO,Present,225,22,5.866666667
20150122,6,EASO,Present,238,0,0
20150123,6,GHOW,Present,252,0,0
20150204,6,EASO,Present,232,0,0
20150212,2,EASO,Present,255,0,0
20150304,2,AMRO,Present,246,0,0
20150310,4,EASO,Present,243,0,0
20150310,4,GHOW,Present,241,0,0
20150311,4,AMRO,Present,230,0,0
20151116,1,AMRO,Present,228,182,47.89473684
20151116,1,EASO,Present,225,38,10.13333333
20151120,1,GHOW,Present,219,29,7.945205479
20141119,3,EASO,Pre,293,0,0
20141119,3,GHOW,Pre,313,128,24.53674121
20141203,3,AMRO,Pre,316,90,17.08860759
20141203,3,GHOW,Pre,306,26,5.098039216
20141205,1,AMRO,Pre,300,90,18
20141222,2,GHOW,Pre,309,0,0
20150122,6,AMRO,Pre,302,0,0
20150122,6,EASO,Pre,317,10,1.892744479
20150123,6,GHOW,Pre,309,21,4.077669903
20150204,6,EASO,Pre,300,10,2
20150212,2,EASO,Pre,313,0,0
20150304,2,AMRO,Pre,285,0,0
20150310,4,EASO,Pre,299,3,0.602006689
20150310,4,GHOW,Pre,301,9,1.794019934
20150311,4,AMRO,Pre,240,32,8
20151116,1,AMRO,Pre,300,173,34.6
20151116,1,EASO,Pre,300,43,8.6
20151120,1,GHOW,Pre,300,60,12